id;adi;yeri;hatlar;point;px;py;weight;is_active;sp_distance;sp_duration;sp_weight
3204;10787;Söğütözü Mh.Eskişehir Yolu Çankaya;167,511-3,512-3,512-4,521-3,530-3,532-3,541-3,602-6;;39.9094;32.7967;0;f;9619.6;976;2103.4
3205;12114;Ayrancı Mh.Hoşdere Cd.Çankaya;173-2,173-5,185-2,185-3,185-6,190;;39.8911;32.8471;0;f;16903;1658.7;3422.8
3206;20695;Ergenekon Mh.Kordonboyu Cd.Yenimahalle;202,205,271,271-2;;39.9701;32.8085;0;f;18678.6;1778.7;3627.4
3207;10217;Üniversiteler Mh.Mh.Eskişehir Yolu Yanyolu Çankaya;511-3,512-3,512-4,521-3,530-3,532-3,541-3,602-6;;39.9067;32.7417;0;f;9381.8;1061.1;2129.5
3208;10694;Gazi Mh.Fatih Sultan Mehmet Blv.Yenimahalle;501,502,504,504-2,504-6,505,505-2,506-1,508,508-1,508-3,510,510-2,510-3,510-6,513-1,514,514-2,514-3,515,518-1,519-1,520,520-3,523,523-6,525,525-2,525-6,527-1,533,535,536,540,540-2,540-6,542,543-1,557,560-3,563-3,565,565-6;;39.9488;32.7878;0;f;15449.7;1576.3;3161.6
3209;20458;İlkyerleşim Mh.1193.Sk.Yenimahalle;240;;39.9792;32.7343;0;f;15864.2;1876.1;3772.1
3210;20756;Ayvalı Mh.Seval Cd.Keçiören;277,278,279,279-2,279-6,282;;39.9838;32.8159;5;t;21677.9;2083.6;4212.1
3211;20821;Yayla Mh.1425.Sk.Keçiören;285-2;;39.9912;32.8248;0;f;22411.5;2286.7;4772
3212;21093;Gayret Mh.Fatih Sultan Mehmet Blv.Yenimahalle;297-3,501,502,504,504-2,504-6,505,505-2,508,508-1,508-3,510,510-2,510-3,510-6,514,514-2,514-3,515,520,520-3,523,523-6,525,525-2,525-6,527-2,533,535,536,540,540-2,540-6,555-2,556-1,557,560-3,563-3,565,565-6;;39.9528;32.8026;0;t;16076.1;1596.3;3200.4
3213;50842;30 Ağustos Mh.Hikmet Özer Cd.Etimesgut;537,538;;39.9406;32.659;0;f;14246.8;1696.7;3458.4
3214;30226;Akdere Mh.Mehmet Ali Altun Cd.Mamak;375,380-6,382;;39.9188;32.8886;0;f;19112.8;2052.6;4268.3
3215;30503;Mehtap Mh.Mamak Cd.Mamak;220-3,221-3,321-6,326,329,334,334-6,343,347,347-6,348,349,350,351,352,353,355,355-4,355-6,357,359,361,363,374-2,377;;39.9349;32.8964;0;f;19856.1;2067.4;4236.9
3216;50937;Eryaman Mh.347.Sk.Etimesgut;531;;39.973;32.6067;0;f;20749.8;2004.8;4036.5
3217;40503;Çaldıran Mh.490.Cd.Keçiören;114-3,418-1;;39.9857;32.8858;0;f;22570.5;1853.8;3745.3
3218;53006;Şehit Osman Avcı Mh.Mh.Malazgirt 1071.Cd.Etimesgut;575;;39.9766;32.6564;0;f;16899.8;1712.6;3476.5
3219;31897;Boğaziçi Mh.Mh.872.Cd.Mamak;334,334-6,337-4,344-2,351,353;;39.9156;32.9307;0;f;28156.6;2185.3;4382
3220;31706;Boğaziçi Mh.Mh.Doğukent Cd.Mamak;330,342;;39.9146;32.9384;5;t;29685.5;2353.5;4798.9
3221;21347;Karakaya Mh.Bağlum Blv.Keçiören;225-2,266,266-6,268,436;;40.0423;32.842;0;f;33452;2747.6;5596.8
3222;51920;İncirlik Mh.Mh. Sincan;501-2;;40.0863;32.5875;0;f;45166.3;2617.1;5258.5
3223;40930;Güzelhisar Mh.81.Sk.Akyurt;485-2;;40.0636;33.0165;0;f;42938;3470.8;7007.9
3224;31607;Başak Mh.1661.Cd.Mamak;314;;39.9615;32.9562;0;f;27869.4;2529.2;5097.9
3225;41449;Yıldırım Beyazıt Mh.Mh.Atatürk Blv.Pursaklar;444-2;;40.0579;32.9615;0;f;41341.7;3172;6392.2
3226;10260;Alacaatlı Mh.3381.Sk.Yenimahalle;586;;39.8547;32.6587;0;f;15598.6;1468.3;2962.2
3227;50836;Alsancak Mh.Hikmet Özer Cd.Etimesgut;530-2,535,537,538,553;;39.9322;32.655;0;f;15793.9;1702.7;3453.9
3228;50887;Fatih Sultan Mh.Üniversite Cd.Etimesgut;576,591;;39.8828;32.6569;0;f;11479.1;1043.4;2120
3229;50305;Pınarbaşı Mh.Yaşar Kemal Cd.Sincan;508,508-3,509,512,512-3;;39.9502;32.5685;0;f;31795.9;2495.8;5032
3230;50775;Altay Mh.Orhan Bey Cd.Etimesgut;542,545;;39.9773;32.6413;0;f;18457.1;2015.1;4062.1
3231;12032;Beynam Köyü Ankara Bala Yolu Bala;178,178-3;;39.6871;32.9042;0;f;45984.2;3615.4;7262
3232;13514;Kırkkonaklar Mh.Mh.450.Cd.Çankaya;303;;39.8863;32.8951;0;f;21813.2;2411.2;4937.1
3233;13520;Kırkkonaklar Mh.Mh.314.Cd.Çankaya;303;;39.886;32.8842;0;f;21264.8;2282.5;4706.2
3234;12157;Hilal Mh.Hollanda Cd.Çankaya;173-2,173-5;;39.8729;32.8552;0;f;18788.8;1854.5;3771.1
3235;20122;Kardelen Mh.2026.Cd.Yenimahalle;299;;39.9744;32.7135;0;f;14601.6;1718.8;3500.5
3236;20073;Kardelen Mh.2026.Cd.Yenimahalle;276,299;;39.9731;32.7113;0;f;14641.5;1728.7;3540.2
3237;10091;Alacaatlı Mh.Mh.Alacaatlı Mucur Tesisleri Yolu Yenimahalle;592,592-1,596;;39.8499;32.6837;0;f;11014.3;1383.2;2837.3
3238;31893;-;367;;39.9273;32.9111;0;f;21337.9;2240.7;4534.2
3239;40307;Merkez Mh.Alperen Cd.Pursaklar;436,437-1;;40.0446;32.8874;3;t;30834.5;2512.5;5106.3
3240;20038;Kardelen Mh.Başkent Blv.Yenimahalle;201-6,276;;39.983;32.6934;1;t;16880.5;1983.6;4002.3
3241;51457;İstasyon Mh.Mh.2340.Sk.Etimesgut;538;;39.9382;32.6623;0;f;14501;1783.9;3620.1
3242;50113;Mustafa Kemal Mh.Mh.Eskişehir Yolu Çankaya;171,511-3,512-3,521-3,530-3,532-3,541-3,602-6;;39.9077;32.7568;0;f;6197.1;798.2;1601.3
